date,RECPROUSM156N
1967-06-01,0.92
1967-07-01,0.54
1967-08-01,0.02
1967-09-01,0.28
1967-10-01,0.18
1967-11-01,0.0
1967-12-01,0.04
1968-01-01,1.16
1968-02-01,0.12
1968-03-01,0.12
1968-04-01,0.04
1968-05-01,0.02
1968-06-01,0.0
1968-07-01,0.02
1968-08-01,0.1
1968-09-01,0.02
1968-10-01,0.0
1968-11-01,0.0
1968-12-01,0.1
1969-01-01,0.06
1969-02-01,0.02
1969-03-01,0.02
1969-04-01,0.34
1969-05-01,0.18
1969-06-01,0.08
1969-07-01,0.12
1969-08-01,0.46
1969-09-01,4.6
1969-10-01,8.26
1969-11-01,41.72
1969-12-01,45.84
1970-01-01,55.24
1970-02-01,44.12
1970-03-01,44.42
1970-04-01,45.64
1970-05-01,41.92
1970-06-01,39.94
1970-07-01,40.9
1970-08-01,56.54
1970-09-01,74.5
1970-10-01,81.42
1970-11-01,31.38
1970-12-01,0.02
1971-01-01,0.12
1971-02-01,1.32
1971-03-01,0.42
1971-04-01,0.14
1971-05-01,0.06
1971-06-01,0.14
1971-07-01,0.44
1971-08-01,0.2
1971-09-01,0.0
1971-10-01,0.04
1971-11-01,0.0
1971-12-01,0.0
1972-01-01,0.0
1972-02-01,0.04
1972-03-01,0.04
1972-04-01,0.02
1972-05-01,0.08
1972-06-01,0.08
1972-07-01,0.2
1972-08-01,0.0
1972-09-01,0.0
1972-10-01,0.0
1972-11-01,0.0
1972-12-01,0.02
1973-01-01,0.0
1973-02-01,0.0
1973-03-01,0.44
1973-04-01,0.48
1973-05-01,0.18
1973-06-01,0.14
1973-07-01,0.1
1973-08-01,0.26
1973-09-01,0.04
1973-10-01,0.06
1973-11-01,1.7
1973-12-01,36.12
1974-01-01,39.96
1974-02-01,35.2
1974-03-01,32.28
1974-04-01,31.32
1974-05-01,30.2
1974-06-01,41.42
1974-07-01,51.14
1974-08-01,81.7
1974-09-01,85.68
1974-10-01,94.74
1974-11-01,100.0
1974-12-01,100.0
1975-01-01,99.84
1975-02-01,99.46
1975-03-01,92.64
1975-04-01,13.86
1975-05-01,2.7
1975-06-01,0.74
1975-07-01,0.08
1975-08-01,0.04
1975-09-01,0.06
1975-10-01,0.04
1975-11-01,0.04
1975-12-01,0.0
1976-01-01,0.0
1976-02-01,0.0
1976-03-01,0.12
1976-04-01,0.1
1976-05-01,0.1
1976-06-01,0.04
1976-07-01,0.08
1976-08-01,0.04
1976-09-01,0.04
1976-10-01,0.26
1976-11-01,0.0
1976-12-01,0.02
1977-01-01,0.6
1977-02-01,0.02
1977-03-01,0.0
1977-04-01,0.0
1977-05-01,0.02
1977-06-01,0.0
1977-07-01,0.06
1977-08-01,0.04
1977-09-01,0.02
1977-10-01,0.04
1977-11-01,0.1
1977-12-01,1.42
1978-01-01,15.66
1978-02-01,0.04
1978-03-01,0.02
1978-04-01,0.02
1978-05-01,0.18
